target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C124635,1,,,,NC(=O)C1CCCNC1,NC(C(=O)O)c1ccc(O)cc1,NC(=O)C1CCCN(C(=O)C(N)c2ccc(O)cc2)C1,Amidation,,
C124638,1,,,,NC(=O)C1CCCNC1,O=C(O)Cc1ccc(Br)cc1Br,NC(=O)C1CCCN(C(=O)Cc2ccc(Br)cc2Br)C1,Amidation,,
C99,1,,,,Cn1nc(C(=O)O)c2ccccc21,Nc1cn[nH]c1,Cn1nc(C(=O)Nc2cn[nH]c2)c2ccccc21,Amidation,,
C124643,1,,,,NC(=O)C1(N)CCCNC1,O=C(O)C(S)c1ccccc1,NC(=O)C1(NC(=O)C(S)c2ccccc2)CCCNC1,Amidation,,
C104,1,,,,Cn1nc(C(=O)O)c2ccccc21,NCCc1cocn1,Cn1nc(C(=O)NCCc2cocn2)c2ccccc21,Amidation,,
C109,1,,,,Cn1nc(C(=O)O)c2ccccc21,NC1CC1CO,Cn1nc(C(=O)NC2CC2CO)c2ccccc21,Amidation,,
C124650,1,,,,NC(=O)C1CCCNC1,O=C(O)Cc1c(F)cccc1F,NC(=O)C1CCCN(C(=O)Cc2c(F)cccc2F)C1,Amidation,,
C122392,1,,,,Cn1nc(C(=O)O)c2ccccc21,CC(N)Cc1cocn1,CC(Cc1cocn1)NC(=O)c1nn(C)c2ccccc12,Amidation,,
C122393,1,,,,NCCc1cocn1,c1ccc2c(c1)CCN2,O=C(NCCc1cocn1)N1CCc2ccccc21,Formation_of_urea_from_two_amines,,
C122397,1,,,,NC(=O)C1CCCNC1,NCC1CC1,NC(=O)C1CCCN(C(=O)NCC2CC2)C1,Formation_of_urea_from_two_amines,,
C122404,1,,,,NC(=O)C1CCCNC1,COc1cccc(N)c1,COc1cccc(NC(=O)N2CCCC(C(N)=O)C2)c1,Formation_of_urea_from_two_amines,,
C156355,1,,,,O=C(O)Cc1ccccc1Br,O=C1NCC2CNCC12,O=C1NCC2CN(C(=O)Cc3ccccc3Br)CC12,Amidation,,
C122445,1,,,,NC(=O)C1CCCNC1,Cc1ccccc1N,Cc1ccccc1NC(=O)N1CCCC(C(N)=O)C1,Formation_of_urea_from_two_amines,,
C124671,1,,,,NC(=O)C1(O)CCCNC1,Cc1ccc(CC(=O)O)cc1,Cc1ccc(CC(=O)N2CCCC(O)(C(N)=O)C2)cc1,Amidation,,
C124673,1,,,,CC1CNCC(C(N)=O)C1,Cc1ccc(CC(=O)O)cc1,Cc1ccc(CC(=O)N2CC(C)CC(C(N)=O)C2)cc1,Amidation,,
C122448,1,,,,CC1CCC(C(N)=O)CN1,COc1ccccc1CC(=O)O,COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,Amidation,,
C124674,1,,,,CC1CCC(C(N)=O)CN1,Cc1ccc(CC(=O)O)cc1,Cc1ccc(CC(=O)N2CC(C(N)=O)CCC2C)cc1,Amidation,,
C124679,1,,,,NC(=O)C1(F)CCCNC1,Cc1ccc(CC(=O)O)cc1,Cc1ccc(CC(=O)N2CCCC(F)(C(N)=O)C2)cc1,Amidation,,
C156118,1,,,,Cc1ccccc1CC(=O)O,CNC(=O)C1CCNC1,CNC(=O)C1CCN(C(=O)Cc2ccccc2C)C1,Amidation,,
C122455,1,,,,COc1ccccc1CC(=O)O,NC(=O)C1CCNC1,COc1ccccc1CC(=O)N1CCC(C(N)=O)C1,Amidation,,
C156377,1,,,,O=C(O)C(Cl)c1ccccc1,NC(=O)C1(O)CCNC1,NC(=O)C1(O)CCN(C(=O)C(Cl)c2ccccc2)C1,Amidation,,
C156378,1,,,,O=C(O)Cc1ccccc1Br,NC(=O)C1(O)CCNC1,NC(=O)C1(O)CCN(C(=O)Cc2ccccc2Br)C1,Amidation,,
C124691,1,,,,NC(=O)C1(N)CCCNC1,O=C(O)Cc1ccc(I)cc1,NC(=O)C1(N)CCCN(C(=O)Cc2ccc(I)cc2)C1,Amidation,,
C122462,1,,,,COc1ccccc1CC(=O)O,CC1CNCC1C(N)=O,COc1ccccc1CC(=O)N1CC(C)C(C(N)=O)C1,Amidation,,
C126858,1,,,,ClCc1nccc(Cl)n1,CC(=O)Nc1ccc(C)cc1O,CC(=O)Nc1ccc(C)cc1OCc1nccc(Cl)n1,Williamson_ether_synthesis,,
C122466,1,,,,COc1ccccc1CC(=O)O,NC(=O)CC1CCNC1,COc1ccccc1CC(=O)N1CCC(CC(N)=O)C1,Amidation,,
C122467,1,,,,NC(=O)C1CCCNC1,COc1ncccc1CC(=O)O,COc1ncccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C124699,1,,,,NC(=O)C1(N)CCCNC1,O=C(O)Cc1ccc(I)cc1,NC(=O)C1(NC(=O)Cc2ccc(I)cc2)CCCNC1,Amidation,,
C126860,1,,,,CC(=O)Nc1ccccc1O,Cc1cnc(CCl)nc1Cl,CC(=O)Nc1ccccc1Oc1nc(CCl)ncc1C,Williamson_ether_synthesis,,
C122469,1,,,,Cc1ccccc1N,Cc1ccc(C(=O)O)cc1C(N)=O,Cc1ccccc1NC(=O)c1ccc(C)c(C(N)=O)c1,Amidation,,
C126861,1,,,,CC(=O)Nc1ccccc1O,Cc1cnc(CCl)nc1Cl,CC(=O)Nc1ccccc1OCc1ncc(C)c(Cl)n1,Williamson_ether_synthesis,,
C156387,1,,,,O=C(O)Cc1ccccc1Br,NC(=O)C1(F)CCNC1,NC(=O)C1(F)CCN(C(=O)Cc2ccccc2Br)C1,Amidation,,
C156389,1,,,,CC1CNCC1C(N)=O,O=C(O)Cc1ccccc1Br,CC1CN(C(=O)Cc2ccccc2Br)CC1C(N)=O,Amidation,,
C156392,1,,,,O=C(O)Cc1ccccc1Br,CC1(C(N)=O)CCNC1,CC1(C(N)=O)CCN(C(=O)Cc2ccccc2Br)C1,Amidation,,
C156393,1,,,,O=C(O)Cc1ccccc1Br,CNC(=O)C1CCNC1,CNC(=O)C1CCN(C(=O)Cc2ccccc2Br)C1,Amidation,,
C150057,1,,,,O=C1NCCC12CCCNC2,COc1cccnc1CC(=O)O,COc1cccnc1CC(=O)N1CCCC2(CCNC2=O)C1,Amidation,,
C156399,1,,,,Nc1ccc(CC(=O)O)cc1,NC(=O)C1(O)CCNC1,NC(=O)C1(O)CCN(C(=O)Cc2ccc(N)cc2)C1,Amidation,,
C156400,1,,,,O=C(O)C(Cl)c1ccccc1,O=C1NCC2CNCC12,O=C1NCC2CN(C(=O)C(Cl)c3ccccc3)CC12,Amidation,,
C124722,1,,,,O=C1NCC2CCNCC12,Cc1ccc(CC(=O)O)cc1,Cc1ccc(CC(=O)N2CCC3CNC(=O)C3C2)cc1,Amidation,,
C122486,1,,,,NC(=O)C1CCCNC1,Cc1cccc(CC(=O)O)c1,Cc1cccc(CC(=O)N2CCCC(C(N)=O)C2)c1,Amidation,,
C156414,1,,,,Nc1ccc(CC(=O)O)cc1,NC(=O)C1(F)CCNC1,NC(=O)C1(F)CCN(C(=O)Cc2ccc(N)cc2)C1,Amidation,,
C122489,1,,,,NC(=O)C1CCCNC1,COc1cccnc1CC(=O)O,COc1cccnc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122490,1,,,,NC(=O)C1CCCNC1,CSc1c(Br)cccc1CC(=O)O,CSc1c(Br)cccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C156418,1,,,,Nc1ccc(CC(=O)O)cc1,NNC(=O)C1CCNC1,Nc1ccc(CC(=O)NNC(=O)C2CCNC2)cc1,Amidation,,
C136362,1,,,,NCCc1cocn1,NN1CCc2ccc(F)cc21,O=C(NCCc1cocn1)NN1CCc2ccc(F)cc21,Formation_of_urea_from_two_amines,,
